fs,fft_x_mag,fft_y_mag,fft_z_mag,psd_x,psd_y,psd_z
209.75,0.003531438580721269,0.018178623430056304,0.028852656383730666,4.9884233797626596e-05,0.0013218493992471683,0.0033299031215905358
209.875,0.010440669369791442,0.016569963299426737,0.018366732765067825,0.0004360303075572049,0.001098254734977396,0.001349347489853664
210.0,0.006289215335144562,0.013171433593608907,0.016135312344791607,0.0001582169181272701,0.000693946651643397,0.0010413932178559378
210.125,0.01053900789155493,0.006298775397610024,0.008522472067197034,0.00044428274935302836,0.00015869828603814928,0.00029053012054461476
210.25,0.01369833769228358,0.007728633655397426,0.012283022036440338,0.0007505778221273482,0.00023892711271736712,0.0006034905213907158
210.375,0.007066559141932506,0.009281792269645664,0.012141895640368999,0.00019974503242571948,0.000344606670947416,0.0005897025189664469
210.5,0.008811855245156062,0.005412408188733413,0.011834055956078749,0.00031059517144633764,0.00011717664960587402,0.0005601795214864116
210.625,0.003735722220096021,0.008576596067312188,0.007940260612731793,5.582248202287658e-05,0.00029423200040733954,0.0002521909543923995
210.75,0.005723782182232832,0.006721845637392562,0.008348810499839536,0.00013104672987858417,0.00018073283509173368,0.0002788105470489235
210.875,0.00509281771035783,0.009211858114583287,0.01046316090611746,0.00010374716892373749,0.00033943331969285583,0.000437910944589219
211.0,0.0017401326104746079,0.0074022898747987615,0.015820021263568795,1.2112246008148694e-05,0.00021917558156219304,0.0010010922911190753
211.125,0.009304465898500773,0.006408219044459876,0.004131562491593321,0.00034629234262545524,0.00016426108528711298,6.827923448776323e-05
211.25,0.01041258432877965,0.003953895323359521,0.005770870294707435,0.00043368764961579023,6.253315291233718e-05,0.0001332117758333467
211.375,0.013306226299158851,0.003495718040011071,0.006019375855445418,0.0007082226332977066,4.888017846103537e-05,0.00014493154275647702
211.5,0.008893029835095656,0.012818510614984548,0.010274848134177568,0.0003163439185916059,0.0006572568575458861,0.000422290016721649
211.625,0.015291401850223017,0.003969365690847545,0.0077742279606103125,0.0009353078821800156,6.302345595071042e-05,0.00024175448153414072
211.75,0.013468266631051455,0.013132325452991768,0.020943149388602412,0.0007255768241803765,0.0006898318872131817,0.0017544620252532702
211.875,0.010862734233729021,0.003558939875030046,0.006928753299963474,0.0004719959801305137,5.0664212136315514e-05,0.00019203048916701895
212.0,0.005779374768453949,0.00822590581865685,0.011206322003322902,0.00013360469085696856,0.00027066210614965045,0.000502326611368636
212.125,0.00977316423013263,0.015310263952262542,0.014129919225939426,0.00038205895627657573,0.0009376167291517994,0.0007986184693262906
212.25,0.010760790458920541,0.013988888289324656,0.017916639656587973,0.0004631784452031814,0.000782755982284818,0.0012840239063360832
212.375,0.005954766866849301,0.009273987984034835,0.013217553861515453,0.00014183699375410497,0.00034402741251209003,0.0006988149203282483
212.5,0.009716070054236269,0.004868632483117822,0.007733082484655524,0.00037760806919530707,9.481432902268004e-05,0.00023920225885794419
212.625,0.0031207016335597078,0.01316793421705788,0.020133569054616305,3.895511474280891e-05,0.0006935779661790549,0.0016214424115080133
212.75,0.005751105782123166,0.013788696869009992,0.021383009719939033,0.00013230087086868206,0.0007605126453817838,0.0018289324187320288
212.875,0.00998288993964665,0.0129580056500903,0.012769025224734776,0.0003986323661883932,0.0006716396417110885,0.0006521920207596519
213.0,0.01574483417149936,0.005806960993060611,0.006963275845733687,0.0009915992123520556,0.00013488318389970992,0.00019394884201511277
213.125,0.011284512029085526,0.004398508188632464,0.0027327869064142705,0.0005093608469383037,7.738749714186734e-05,2.9872497103477117e-05
213.25,0.007985765970379808,0.010574546445643452,0.01275830378852567,0.00025508983253470465,0.0004472841301242822,0.0006510972622412339
213.375,0.0029736303827334193,0.006668302132276753,0.011049344824652637,3.536991061246121e-05,0.00017786501330930676,0.000488352084216312
213.5,0.0011928990874350079,0.0027955912274562665,0.004293692722983268,5.692032931213098e-06,3.126132124412174e-05,7.374318879759788e-05
213.625,0.006188666558775036,0.0012472065236586284,0.0040974925542546165,0.00015319837510280177,6.2220964506265635e-06,6.715778092868808e-05
213.75,0.0026038938631713533,0.0013072843327086585,0.006298507556408447,2.712105300264574e-05,6.83596930618209e-06,0.00015868478975253724
213.875,0.007605615873487014,0.010207822045808907,0.010514750590588724,0.00023138157126015055,0.00041679852367560935,0.00044223991992914364
214.0,0.0004006595930153293,0.0097489452811017,0.012605670353656832,6.421124379008373e-07,0.00038016773637566037,0.000635611700260251
214.125,0.0018732267511151496,0.011078990599881785,0.014369729573834172,1.4035913844373675e-05,0.0004909761308490759,0.0008259565121004977
214.25,0.010212453542616517,0.002389220752327597,0.005823872618355867,0.00041717682944040265,2.2833503213411393e-05,0.00013566996909934091
214.375,0.010892821149835181,0.009172589772023315,0.0050314593206112,0.00047461421040918654,0.0003365456125033069,0.00010126233157986129
214.5,0.007290301343341699,0.006218474268339932,0.011008844116342308,0.00021259397470691912,0.0001546776889040234,0.0004847785951116986
214.625,0.0029322095694784326,0.001976182309063957,0.0051899211340695655,3.439141183736358e-05,1.5621186074629414e-05,0.0001077411255114477
214.75,0.01529841797224656,0.002695964090769624,0.010990642475762587,0.0009361663698142261,2.907288951487714e-05,0.0004831768881201471
214.875,0.009517329550964699,0.005483370318921456,0.005922452332842823,0.0003623182471266637,0.00012026940021771514,0.00014030176653918156
215.0,0.008020124911063225,0.00461495421199451,0.0029102527511756827,0.0002572896143562276,8.519120951522347e-05,3.387828430290252e-05
